MVA,BGs,"Median Sales Price, 17-19 ",Coef. Of Variance,Home-Owners,Subsidized Renters,New Cons. ,Poor or Worse Condition,Building Violations,Vacant,Foreclosure
,,,,,,,,,Lot Area,
A,76,"$460,000 ",0.47,78%,3%,3.7%,0.1%,0.1%,0.4%,0.6%
B,113,"$269,000 ",0.5,43%,4%,1.2%,0.3%,0.7%,0.4%,0.8%
C,185,"$215,000 ",0.42,89%,1%,0.6%,0.1%,0.2%,1.3%,0.7%
D,100,"$143,000 ",0.5,40%,4%,0.3%,0.5%,1.0%,1.0%,1.5%
E,196,"$127,000 ",0.47,81%,3%,0.2%,0.5%,0.3%,3.0%,1.4%
F,22,"$120,000 ",0.57,62%,76%,0.9%,1.5%,0.8%,2.8%,1.3%
G,190,"$70,000 ",0.63,62%,10%,0.1%,1.1%,0.9%,3.0%,2.2%
H,122,"$34,000 ",0.81,51%,19%,0.1%,2.4%,1.9%,3.4%,2.6%
I,30,"$21,000 ",0.87,48%,80%,>0.1%,6.5%,2.5%,3.3%,2.4%
J,42,"$14,000 ",0.94,44%,20%,>0.1%,6.8%,2.0%,2.6%,2.4%
Countywide Average,,"$154,000 ",0.57,65%,10%,0.60%,1.1%,0.8%,2.1%,1.5%
